epoch,step,val_loss
0,2,121.24723815917969
1,5,120.79146575927734
2,8,120.34606170654297
3,11,119.89216613769531
4,14,119.45146179199219
5,17,119.01995086669922
6,20,118.57066345214844
7,23,118.13832092285156
8,26,117.68738555908203
9,29,117.25123596191406
