epoch,step,val_loss
0,2,174.56124877929688
1,5,174.02490234375
2,8,173.49301147460938
3,11,172.94049072265625
4,14,172.3833770751953
5,17,171.8233642578125
6,20,171.258056640625
7,23,170.69467163085938
8,26,170.1470184326172
9,29,169.5872344970703
