epoch,step,val_loss
0,2,9.14656925201416
1,5,9.020631790161133
2,8,8.895683288574219
3,11,8.769082069396973
4,14,8.64756965637207
5,17,8.523727416992188
6,20,8.400765419006348
7,23,8.279356002807617
8,26,8.157169342041016
9,29,8.041311264038086
